price,year,mileage,tax,steering,condition,owners,model,volume,power,transmission,engine,fuel,drive,acceleration,consumption,country,class,number seats,length,width,height,wheelbase,clearance,wheel size,fuel capacity,weight,gears,maximum speed,fuel consumption city/highway/combined,ecological,co2,engine capacity,boost type,cylinders,cylinder,compression,engine model,timing
6 458 057 ₽,2025,25 км,33 720 ₽ / год,Левый,Не требует ремонта,1 владелец,Hyundai,2.5,281,Автомат,Бензиновый,АИ-95,Полный,nan,11.5,Южная Корея,E,"7, 9",5060,1980,1805,2970,nan,"245/60 R18, 245/50 R20",72,nan,8,nan,9.6/13.0/11.5,nan,193,2497,Турбонаддув,4,4,10.5,G4KP,DOHC
1 700 000 ₽,2018,60 200 км,3 600 ₽ / год,Левый,Не требует ремонта,2 владельца,Mazda,1.5,120,Автомат,Бензиновый,АИ-95,Передний,11.8,5.8,Япония,C,5,4580,1795,1450,2700,155,205/60 R16,51,1835,6,194,7.4/4.9/5.8,Euro 5,nan,1496,нет,4,4,14,nan,DOHC
1 955 800 ₽,2021,32 000 км,5 250 ₽ / год,Левый,Не требует ремонта,1 владелец,Audi,1.4,150,Автомат,Бензиновый,АИ-95,Передний,8.2,4.8,Германия,C,5,4495,1816,1425,2636,140,225/45 R17,50,nan,8,224,5.9/4.1/4.8,Euro 6,118,1395,Турбонаддув,4,4,10,nan,DOHC
2 975 594 ₽,2022,22 200 км,13 020 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,nan,476,Автомат,Электро,nan,Полный,4.2,nan,Швеция,D,5,4606,1859,1479,2735,nan,245/45 R19,nan,2600,1,205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2 150 000 ₽,2012,203 879 км,31 920 ₽ / год,Левый,Не требует ремонта,3 или более,Toyota,3.5,266,Автомат,Бензиновый,АИ-95,Полный,7.7,13.1,Япония,M,"5, 7",5085,1986,1750,3030,165,235/60 R17,nan,nan,6,185,14.7/10.7/13.1,nan,nan,3456,нет,6,4,10.8,2gr-fe,DOHC
3 290 005 ₽,2021,40 000 км,36 720 ₽ / год,Левый,Не требует ремонта,1 владелец,Mini,2.0,306,Автомат,Бензиновый,АИ-98,Полный,4.9,7.4,Великобритания,B,5,4253,1800,1441,2670,140,225/40 R18,48,2155,8,250,8.9/6.5/7.4,Euro 6,169,1998,Турбонаддув,4,4,9.5,B48B20,DOHC
3 624 483 ₽,2021,60 600 км,15 000 ₽ / год,Левый,Не требует ремонта,1 владелец,Jaguar,2.0,250,Автомат,Бензиновый,АИ-95,Полный,7.3,7.7,Великобритания,D,5,4747,2071,1664,2874,213,"255/55 R19, 255/60 R18",82,2520,8,217,9.4/6.7/7.7,Euro 6,228,1997,Турбонаддув,4,4,10.5,nan,DOHC
895 000 ₽,2007,305 000 км,6 960 ₽ / год,Левый,Не требует ремонта,3 или более,Nissan,2.5,174,Механика,Дизельный,ДТ,Полный,12.3,9.0,Япония,J,"5, 7",4890,1850,1839,2850,240,"255/65 R17, 265/60 R18",80,2880,6,175,11.5/7.6/9.0,nan,nan,2488,Турбонаддув,4,4,16.5,yd25ddti,DOHC
5 562 794 ₽,2025,50 км,54 000 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,nan,450,Автомат,Электро,nan,Полный,4.3,12.4,США,D,5,4797,1920,1624,2890,167,255/45 R19,nan,nan,1,201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
835 000 ₽,2018,155 905 км,1 350 ₽ / год,Левый,Не требует ремонта,2 владельца,Skoda,1.6,90,Механика,Бензиновый,АИ-95,Передний,11.4,5.8,Чехия,B,5,4483,1706,1461,2602,170,"175/70 R14, 185/60 R15",55,1665,5,185,7.8/4.6/5.8,Euro 5,nan,1598,нет,4,4,10.5,CFW,DOHC
1 750 000 ₽,2022,63 000 км,5 040 ₽ / год,Левый,Не требует ремонта,1 владелец,Honda,1.5,180,Вариатор,Бензиновый,АИ-95,Передний,nan,6.7,Япония,C,5,4547,1801,1415,2736,135,"215/50 R17, 235/40 R18",47,nan,nan,nan,7.6/6.0/6.7,nan,142,1498,Турбонаддув,4,4,10.3,L15B7,DOHC
2 550 000 ₽,2021,55 000 км,4 788 ₽ / год,Левый,Не требует ремонта,1 владелец,Toyota,2.0,171,Вариатор,Бензиновый,АИ-95,Полный,11.0,6.3,Япония,C,5,4600,1855,1685,2690,195,"225/60 R18, 235/55 R19",55,nan,nan,180,-/-/6.3,Euro 6,nan,1987,нет,4,4,13,M20A-FKS,DOHC
700 000 ₽,2012,112 064 км,4 794 ₽ / год,Левый,Не требует ремонта,2 владельца,SsangYong,2.0,141,Механика,Дизельный,ДТ,Полный,16.2,7.7,Южная Корея,J,5,4660,1880,1755,2740,199,"235/75 R16, 225/75 R16, 255/60 R18",75,2530,5,167,9.9/6.3/7.7,nan,nan,1998,Турбонаддув,4,4,17.5,D20DT,DOHC
2 330 000 ₽,2019,90 600 км,8 750 ₽ / год,Левый,Не требует ремонта,1 владелец,nan,2.4,175,Автомат,Бензиновый,АИ-95,Полный,9.8,9.4,США,B,5,4236,1667,1805,2570,220,215/60 R17,48,nan,9,180,10.7/7.6/9.4,Euro 6,155,2360,нет,4,4,10.5,tigershark multiair 2,SOHC
3 313 948 ₽,2020,55 000 км,30 480 ₽ / год,Левый,Не требует ремонта,1 владелец,Volvo,2.0,254,Автомат,Бензиновый,АИ-95,Полный,6.8,7.3,Швеция,D,5,4688,1999,1658,2865,216,"235/60 R18, 235/65 R17",60,nan,8,220,-/-/7.3,Euro 6,167,1969,Турбонаддув,4,4,10.8,B4204T23,DOHC
2 608 000 ₽,2023,16 000 км,17 775 ₽ / год,Левый,Не требует ремонта,1 владелец,Geely,2.0,238,Автомат,Бензиновый,АИ-95,Полный,6.9,8.1,Китай,C,5,4605,1878,1643,2700,204,"235/50 R19, 245/45 R20",54,2115,8,210,11.4/6.3/8.1,Euro 5,nan,1969,Турбонаддув,4,4,10.8,JLH-4G20TDB,DOHC
2 517 095 ₽,2023,15 000 км,30 240 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,252,Автомат,Бензиновый,АИ-95,Передний,7.6,7.34,Китай,D,5,4785,1905,1700,2870,200,"235/60 R18, 255/45 R20",nan,2205,8,nan,-/-/7.34,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD-35,DOHC
2 495 085 ₽,2023,10 000 км,13 440 ₽ / год,Левый,Не требует ремонта,nan,Hongqi,2.0,224,Автомат,Бензиновый,АИ-95,Передний,7.8,nan,Китай,D,5,4988,1875,1470,2920,nan,nan,nan,nan,8,nan,nan,nan,nan,1989,Турбонаддув,4,4,nan,CA4GC20TD,DOHC
6 047 956 ₽,2021,54 000 км,48 000 ₽ / год,Левый,Не требует ремонта,nan,Land,3.0,400,Автомат,Бензиновый,АИ-95,Полный,6.1,9.9,Великобритания,J,"5, 7",5018,1996,1967,3022,218-291,"255/60 R20, 255/65 R19, 255/70 R18",90,3165,8,208,12.5/8.4/9.9,Euro 6,225,2996,Турбонаддув,6,4,10.5,nan,DOHC
3 310 125 ₽,2025,17 км,38 160 ₽ / год,Левый,Не требует ремонта,nan,BYD,1.5,318,Вариатор,Гибридный,АИ-92,Передний,7.9,16.8,Китай,D,5,4775,1890,1670,2765,nan,235/50 R19,60,2265,nan,180,-/-/3.93,nan,nan,1498,нет,4,4,nan,BYD472QC,DOHC
4 350 000 ₽,2019,112 000 км,8 820 ₽ / год,Левый,Не требует ремонта,nan,Land,2.0,180,Автомат,Дизельный,ДТ,Полный,8.9,5.4,Великобритания,D,5,4803,2032,1665,2874,213-251,235/65 R18,60,2490,8,209,6.2/4.9/5.4,Euro 6,142,1999,Турбонаддув,4,4,15.5,nan,DOHC
8 676 993 ₽,2025,17 км,73 440 ₽ / год,Левый,Не требует ремонта,nan,Zeekr,nan,612,Автомат,Электро,nan,Полный,4.5,17.8,Китай,M,"7, 6, 4",5217,2024,1812,3205,142,255/50 R19,nan,3477,1,210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
